handle,product_name,herb_position,herb_name,herb_latin_name,herb_common_name,herb_family_name,herb_parts_used,herb_actions,herb_benefits,herb_description,herb_image_url
rosy-mood-tea,Rosy Mood™ Tea,1,Damiana,Turnera diffusa,Damiana,Passifloraceae,leaves,"Nervine, aphrodisiac, mood enhancer",Stress Relief; Mood Support; Libido Support,"Long revered for its uplifting spirit, Damiana is a cherished herb known to spark passion, soothe the senses, and inspire a brighter mood while supporting a calm and centered mindset.*",https://www.traditionalmedicinals.com/cdn/shop/articles/Damiana-4_8f4e82da-f2b1-4439-a96f-3909fa56aa49_920x1120_crop_center.jpg?v=1784232043
rosy-mood-tea,Rosy Mood™ Tea,2,Butterfly Pea flower,Clitoria ternatea,Butterfly Pea,Fabaceae,Flowers,Colorant,Adds color to your cup,Butterfly Pea is traditionally used in Southeast Asian cuisine and valued for its naturally vibrant hue.,https://www.traditionalmedicinals.com/cdn/shop/articles/Butterfly-pea-flower-5_e2332902-6d15-4ce8-8530-44c3a278bda2_920x1120_crop_center.jpg?v=1784234466
rosy-mood-tea,Rosy Mood™ Tea,3,Rose flower,Species of the genus Rosa,Rose,,Flowers and Petals,Nervine relaxant,Mood Support,"Beloved for their timeless beauty and delicate scent, rose flowers are also traditionally used to support emotional balance.*",https://www.traditionalmedicinals.com/cdn/shop/articles/rose-1_4576002f-65ac-43dd-ac4c-ee6ce1d672a8_920x1120_crop_center.jpg?v=1784232270
stress-ease-calm-tea,Stress Ease® Calm Tea,1,Ashwagandha,Withania somnifera,Ashwagandha,Solanaceae,Roots,"Adaptogen, nervous system tonic, relaxant, endurance aid, reproductive tonic",Stress Relief; Endurance; Sleep Support,"Ashwagandha has been revered in Ayurvedic medicine for thousands of years as a powerful tonic for the body and mind. This calming adaptogen has been traditionally used to enhance vitality, bolster resilience to stress, and support restful sleep.*",https://www.traditionalmedicinals.com/cdn/shop/articles/Ashwagandha1_834fb068-4485-47b1-b749-822ff049bfb2_920x1120_crop_center.jpg?v=1784239081
stress-ease-calm-tea,Stress Ease® Calm Tea,2,Honeybush,Cyclopia species,Honeybush,Fabaceae,Aerial Parts,General Wellness,Caffeine-free beverage + tea or coffee substitute,"Honeybush is a mildly sweet, caffeine-free herb from South Africa, cherished for both its smooth, honey-like flavor and its wellness-supporting properties.*",https://www.traditionalmedicinals.com/cdn/shop/articles/Honeybush-4_7f2f3925-116a-4d4c-8baa-92742046bd42_920x1120_crop_center.jpg?v=1784239185
lemon-balm-tea,Lemon Balm Tea,1,Lemon Balm,Melissa officinalis,Lemon Balm,Lamiaceae,Leaf,"Carminative, Nervine, Antispasmodic, Diaphoretic, Hepatic",Relaxation; Digestion; Good Mood,Lemon balm supports digestion and helps calm frazzled nerves.*,https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_LemonBalm_1400x1400_6f494e57-5d64-4da6-a39d-9b54cc00621b_920x1120_crop_center.jpg?v=1784234964
nighty-night-extra-tea,Nighty Night Extra® Tea,1,Valerian,Valeriana officinalis,Valerian,Caprifoliaceae,Root,"Sedative, Carminative, Relaxant, Hypnotic, Nervine, Antispasmodic",Sleep; Relaxation,Valerian root is a time-tested herbal calming agent that can ease occasional sleepless nights and soothing the nervous system.*,https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Valerian_1400x1400_152fa633-7e38-493b-ad0e-72e7c42249ee_920x1120_crop_center.jpg?v=1784234938
nighty-night-extra-tea,Nighty Night Extra® Tea,2,Passionflower,Passiflora incarnata,Passionflower,Passifloraceae,"Flower, Leaf, Stem","Nervine, Sedative",Sleep; Relaxation; Stress Relief,"Passionflower benefits the mind and body as it soothes the nerves, promotes relaxation and rest, and helps ease occasional worry.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_PassionFlower_1400x1400_0703ec02-31a3-4688-97ac-da544e4e62f1_920x1120_crop_center.jpg?v=1784235127
nighty-night-extra-tea,Nighty Night Extra® Tea,3,Lemon Balm,Melissa officinalis,Lemon Balm,Lamiaceae,Leaf,"Carminative, Nervine, Antispasmodic, Diaphoretic, Hepatic",Relaxation; Digestion; Good Mood,Lemon balm supports digestion and helps calm frazzled nerves.*,https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_LemonBalm_1400x1400_6f494e57-5d64-4da6-a39d-9b54cc00621b_920x1120_crop_center.jpg?v=1784234964
nighty-night-extra-tea,Nighty Night Extra® Tea,4,Licorice,Glycyrrhiza glabra,Licorice,Fabaceae,"Root, Rhizome",Demulcent,Digestive; Respiratory; Throat Health,"More than a sweet treat, licorice root is traditionally used in herbal medicine for soothing digestion and supporting respiratory health.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Licoriceroot_1400x1400_ff361d1b-d253-4576-81ae-f771016bbab5_920x1120_crop_center.jpg?v=1784234088
nighty-night-extra-tea,Nighty Night Extra® Tea,5,Peppermint,Mentha x piperita,Peppermint,Lamiaceae,Leaf,"Carminative, Nervine, Antispasmodic",Digestion,"As one of the most commonly known herbs, peppermint is like a breath of fresh air with its refreshing aroma and soothing health benefit in aiding digestion.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Peppermint_1400x1400_17e2adf7-75e0-40a5-b913-7bd53c5ebc3e_920x1120_crop_center.jpg?v=1784235234
dandelion-leaf-root-tea,Dandelion Leaf & Root Tea,1,Dandelion,Taraxacum officinale,Dandelion,Asteraceae,"Leaf, Root","Alterative, Diuretic, Hepatic, Cholagogue, Digestive Tonic, Bitter",Detox; Digestion; Water Retention,The uses of dandelion span from wild food to trusted herbal ally to gently support the body’s natural detoxification process.*,https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Dandelion_1400x1400_667f66fd-e8b7-4c6f-afeb-3f2db752a36d_920x1120_crop_center.jpg?v=1784237224
nettle-leaf-tea,Nettle Leaf Tea,1,Nettle,Urtica dioica,Nettle,Urticaceae,"Leaf, Root","Astringent, Diuretic, Nutritive Tonic",Detox; Joint Health; Water Retention; Women’s Cycle,"An herbalist favorite, nettle is used to support the kidneys and joints.*",https://www.traditionalmedicinals.com/cdn/shop/articles/HerbalLibrary_Hero_Nettle_1400x1400_c182b159-cbf5-4578-8969-2098ce3f8a93_920x1120_crop_center.jpg?v=1784234829
