handle,product_name,faq_position,question,answer
rosy-mood-tea,Rosy Mood™ Tea,1,Does this contain common allergens?,Do not use this product if you are allergic to any of the listed ingredients.
rosy-mood-tea,Rosy Mood™ Tea,2,"Is this vegan, vegetarian, kosher, etc.?","Vegan, Vegetarian, and Kosher"
rosy-mood-tea,Rosy Mood™ Tea,3,"The tea changes color depending on where I brew it, is that OK?","Our herbalists added butterfly pea flower to Rosy Mood™ to bring an unexpected, playful sense of wonder to the experience of drinking this tea. Depending on the source, the water used to brew tea can have different levels of alkalinity, interacting with the pH-sensitive herbal ingredients in this blend to create a range of possible colors. As it brews, you might notice teal blue, bright pink, or a dark amethyst-purple. For even more fun, squeeze lemon juice from a fresh lemon into the tea and watch the color change: an herbal magic trick!"
rosy-mood-tea,Rosy Mood™ Tea,4,How to Enjoy,Pour 8 oz. freshly boiled water over 1 tea bag. Cover & Steep for 10-15 min. Squeeze & remove tea bag to ensure maximum goodness. Enjoy 2-3 cups per day.
rosy-mood-tea,Rosy Mood™ Tea,5,How Fast Will I Get My Order?,How FAST will I receive my order? The ZIP Code you entered was not found. Please try again. FAST & FREE Delivery Over $45 Order by: Receive it For ZIP Code with FREE Shipping on Orders Over $45 Shipping to another address? ZIP Code (must be 5 numbers) Some restrictions apply. See our complete shipping policy . Find In A Store Near You
stress-ease-calm-tea,Stress Ease® Calm Tea,1,Does this contain common allergens?,Do not use if you are allergic to any of the listed ingredients.
stress-ease-calm-tea,Stress Ease® Calm Tea,2,How to Enjoy,Pour 8 oz. freshly boiled water over 1 tea bag. Squeeze & remove tea bag to ensure maximum goodness. Cover & Steep for 10-15 min. Enjoy 2-3 cups per day.
stress-ease-calm-tea,Stress Ease® Calm Tea,3,How Fast Will I Get My Order?,How FAST will I receive my order? The ZIP Code you entered was not found. Please try again. FAST & FREE Delivery Over $45 Order by: Receive it For ZIP Code with FREE Shipping on Orders Over $45 Shipping to another address? ZIP Code (must be 5 numbers) Some restrictions apply. See our complete shipping policy . Find In A Store Near You
lemon-balm-tea,Lemon Balm Tea,1,What is Lemon Balm Tea good for?,"Our Organic Lemon Balm tea calms the nervous system, soothes frazzled nerves and supports healthy digestion.*"
lemon-balm-tea,Lemon Balm Tea,2,What does Lemon Balm Tea taste like?,"As part of the mint plant family, lemon balm leaves have a lemony scent and taste pleasantly mild, with subtle citrus notes."
lemon-balm-tea,Lemon Balm Tea,3,Can I drink Lemon Balm Tea every day?,"Lemon Balm is considered a nervine herb, which helps support relaxation and relieve occasional nervous tension. Additionally, it supports healthy digestion, making it an excellent tea to incorporate into your daily self-care routine.* That said, we always recommend consulting your healthcare practitioner who can offer herbal guidance based on your unique health history."
lemon-balm-tea,Lemon Balm Tea,4,How to Enjoy,Pour 8 oz. freshly boiled water over 1 tea bag. Cover & Steep for 5-10 min. Squeeze tea bag to ensure maximum goodness. Enjoy 3 cups per day.
lemon-balm-tea,Lemon Balm Tea,5,How Fast Will I Get My Order?,How FAST will I receive my order? The ZIP Code you entered was not found. Please try again. FAST & FREE Delivery Over $45 Order by: Receive it For ZIP Code with FREE Shipping on Orders Over $45 Shipping to another address? ZIP Code (must be 5 numbers) Some restrictions apply. See our complete shipping policy . Find In A Store Near You
nighty-night-extra-tea,Nighty Night Extra® Tea,1,What does valerian root do?,Valerian root is a herbal sedative that eases occasional sleepless nights and nervous system tension.*
nighty-night-extra-tea,Nighty Night Extra® Tea,2,What does passionflower do?,"Passionflower soothes the nervous system, eases anxious minds, and promotes a good night’s sleep.*"
nighty-night-extra-tea,Nighty Night Extra® Tea,3,Can I consume Organic Nighty Night® Extra for longer than two weeks?,"Since our tea is formulated for occasional sleeplessness only, we do not recommend consuming it longer than two weeks without taking a break. If you’re experiencing long-term sleeplessness and symptoms persist, we'd advise consulting with a healthcare practitioner that can offer personalized guidance. Safety is our when formulating our teas, and we list safety information on the side panel of our cartons and product pages of our website."
nighty-night-extra-tea,Nighty Night Extra® Tea,4,Why is Organic Nighty Night® Extra not recommended for children under the age of 12?,"Our Organic Nighty Night® Extra is formulated for adult bodies and constitutions, which is why we’re unable to recommend it for use with children. We suggest consulting with the child’s pediatrician for guidance on incorporating herbal teas into their routine."
nighty-night-extra-tea,Nighty Night Extra® Tea,5,What is the difference between Organic Nighty Night® and Organic Nighty Night® Extra?,"Our two Organic Nighty Night teas have different active herbs, and you may find one works better for your sleep needs. Our Organic Nighty Night original tea uses passionflower, chamomile, hops, and catnip to help you get a good night’s rest. In addition to these herbs, Organic Nighty Night also includes linden to promote relaxation, along with spearmint, lemon verbena, lemon peel, and lemongrass for flavor.* Organic Nighty Night Extra tea utilizes valerian root along with passionflower and lemon balm to help promote a good night’s sleep. This formula is complemented by peppermint, caraway, and licorice for flavor. Valerian root has been widely used as a gentle sedative and is considered one of nature’s best relaxing herbs.* Additionally, our Organic Nighty Night Extra is formulated without the use of chamomile, making it suitable for individuals with an allergy to plants in the Asteraceae (daisy) family."
nighty-night-extra-tea,Nighty Night Extra® Tea,6,How to Enjoy,"Pour 8 oz. freshly boiled water over 1 tea bag. Cover & Steep for 10-15 min. Squeeze tea bag to ensure maximum goodness. Enjoy 2-3 cups late in the day, at least 1 cup 30 minutes before bed. For Adults Only."
nighty-night-extra-tea,Nighty Night Extra® Tea,7,How Fast Will I Get My Order?,How FAST will I receive my order? The ZIP Code you entered was not found. Please try again. FAST & FREE Delivery Over $45 Order by: Receive it For ZIP Code with FREE Shipping on Orders Over $45 Shipping to another address? ZIP Code (must be 5 numbers) Some restrictions apply. See our complete shipping policy . Find In A Store Near You
dandelion-leaf-root-tea,Dandelion Leaf & Root Tea,1,What is Dandelion Tea good for?,"Our Organic Dandelion Leaf & Root tea supports kidney function and healthy digestion.* As an herbal diuretic, dandelion leaves help with relieving water retention and flushing the body of excess waste.*"
dandelion-leaf-root-tea,Dandelion Leaf & Root Tea,2,How often should you drink Dandelion Tea?,"In traditional herbal medicine, it is recommended to occasionally take a one week break when consuming dandelion in order to allow the kidneys to return to their normal baseline function. That said, we encourage individuals to consult with their healthcare practitioner for further recommendations specific to their unique health history."
